               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079623,            0.032441,            0.017156,             0.53021,             0.41979,             0.44545,             0.19365,            0.058638,            0.020017,           0.0032309,            0.070075,            0.003325,            0.003325
                   1,            0.060001,            0.027807,           0.0058984,             0.65717,             0.57115,             0.61455,             0.29371,            0.051729,            0.019365,           0.0026514,            0.040053,           0.0066364,           0.0066364
                   2,            0.055401,            0.028548,            0.005927,             0.61803,             0.51488,             0.55058,             0.27404,             0.04996,             0.02116,           0.0052923,            0.010009,           0.0099257,           0.0099257
                   3,            0.053064,            0.030536,           0.0066727,             0.67265,             0.44857,             0.53957,             0.27228,            0.048561,            0.023047,            0.004698,            0.009901,            0.009901,            0.009901
                   4,            0.051461,            0.030865,            0.006397,             0.69246,             0.47671,             0.56706,              0.2986,            0.046107,             0.02132,           0.0054369,            0.009901,            0.009901,            0.009901
                   5,            0.049846,            0.030543,           0.0053558,             0.65657,             0.57755,              0.6098,             0.32323,            0.045068,            0.021819,           0.0040158,            0.009868,            0.009868,            0.009868
                   6,            0.048468,            0.029928,           0.0046508,              0.6918,             0.52131,             0.59755,             0.32538,            0.043425,            0.021471,           0.0028348,            0.009835,            0.009835,            0.009835
                   7,            0.047717,            0.029941,           0.0049581,             0.69008,             0.53646,             0.60624,             0.31953,            0.044135,            0.021482,           0.0021567,            0.009802,            0.009802,            0.009802
                   8,            0.046583,            0.029696,           0.0040635,             0.65531,             0.55502,             0.61809,             0.33459,            0.042752,            0.021023,           0.0035565,            0.009769,            0.009769,            0.009769
                   9,            0.045491,            0.029443,           0.0040837,             0.64764,             0.63452,             0.63466,             0.35423,            0.044648,            0.020972,           0.0026042,            0.009736,            0.009736,            0.009736
                  10,            0.044938,             0.02932,           0.0035865,             0.70793,             0.57594,             0.63463,             0.35499,             0.04209,            0.020558,           0.0019646,            0.009703,            0.009703,            0.009703
                  11,            0.044385,            0.028898,           0.0032057,             0.71781,             0.59273,             0.65478,             0.37925,            0.040702,            0.020165,           0.0020564,             0.00967,             0.00967,             0.00967
                  12,            0.043732,            0.028322,           0.0030009,             0.66544,             0.59618,              0.6347,             0.36811,            0.041307,             0.02013,           0.0014707,            0.009637,            0.009637,            0.009637
                  13,            0.043313,            0.027923,           0.0028456,             0.69597,             0.60963,             0.64534,             0.38122,             0.04129,            0.019986,           0.0014471,            0.009604,            0.009604,            0.009604
                  14,            0.043311,            0.028236,           0.0030399,             0.66771,             0.61237,             0.64686,             0.36719,            0.039686,            0.020282,           0.0018194,            0.009571,            0.009571,            0.009571
                  15,             0.04312,            0.027753,           0.0028327,              0.7146,             0.60919,             0.67686,              0.3988,            0.040381,            0.020033,           0.0027366,            0.009538,            0.009538,            0.009538
                  16,            0.041938,            0.027446,           0.0023744,             0.67737,              0.6116,             0.64583,             0.38309,            0.039515,            0.020021,           0.0022099,            0.009505,            0.009505,            0.009505
                  17,            0.042259,            0.027533,            0.002486,             0.67768,             0.61472,             0.64648,             0.37861,            0.039768,            0.019725,           0.0022078,            0.009472,            0.009472,            0.009472
                  18,             0.04209,            0.027969,            0.002415,             0.70826,             0.65489,              0.6868,             0.40599,            0.040083,            0.019525,          0.00066347,            0.009439,            0.009439,            0.009439
                  19,            0.041479,            0.027191,           0.0020877,             0.70648,             0.62444,             0.67066,             0.40171,            0.039093,            0.019645,           0.0010613,            0.009406,            0.009406,            0.009406
                  20,             0.04113,            0.026911,           0.0022492,             0.71955,             0.62624,             0.67306,             0.40732,            0.039341,            0.019439,           0.0010825,            0.009373,            0.009373,            0.009373
                  21,            0.041151,            0.027024,           0.0021368,             0.68492,             0.61803,             0.65844,             0.40064,            0.039316,            0.019728,           0.0013154,             0.00934,             0.00934,             0.00934
                  22,            0.040883,            0.026674,           0.0020898,             0.73203,             0.60978,             0.67685,             0.40612,            0.038328,            0.019695,           0.0021133,            0.009307,            0.009307,            0.009307
                  23,            0.040598,            0.026285,           0.0020768,             0.67291,             0.65535,             0.67927,             0.41266,            0.038546,             0.01978,           0.0009917,            0.009274,            0.009274,            0.009274
                  24,            0.040161,            0.026141,           0.0018961,             0.72453,             0.62961,              0.6721,             0.39919,            0.039052,            0.019516,          0.00098143,            0.009241,            0.009241,            0.009241
                  25,            0.040037,            0.025983,           0.0021065,             0.69257,             0.65193,             0.67958,             0.39828,            0.038583,            0.019731,           0.0012191,            0.009208,            0.009208,            0.009208
                  26,            0.039753,            0.026087,           0.0017775,             0.70121,             0.62163,             0.67601,              0.4043,            0.038532,            0.019966,           0.0012455,            0.009175,            0.009175,            0.009175
                  27,             0.03998,            0.026049,           0.0017704,             0.75416,             0.62171,             0.67912,             0.40852,            0.038793,            0.019975,          0.00093411,            0.009142,            0.009142,            0.009142
                  28,            0.039668,            0.026438,           0.0021749,             0.71286,             0.63222,             0.67177,             0.40398,            0.038536,            0.020563,           0.0016076,            0.009109,            0.009109,            0.009109
                  29,             0.03987,            0.026377,           0.0018419,             0.70214,             0.64077,             0.67289,             0.40966,             0.03826,            0.020481,           0.0021695,            0.009076,            0.009076,            0.009076
                  30,            0.039491,            0.026488,           0.0021839,             0.73519,             0.60177,             0.67376,             0.41039,            0.037614,            0.019401,           0.0010871,            0.009043,            0.009043,            0.009043
                  31,            0.039443,            0.025845,           0.0019588,             0.72611,             0.63227,             0.67327,             0.40863,            0.038318,            0.020025,           0.0014027,             0.00901,             0.00901,             0.00901
                  32,            0.038857,            0.025763,           0.0017933,             0.73883,             0.66186,             0.70148,             0.42889,            0.037693,            0.019442,           0.0018351,            0.008977,            0.008977,            0.008977
                  33,            0.039203,            0.025477,           0.0016534,             0.68806,             0.65474,             0.68701,             0.41968,            0.037674,             0.01929,          0.00078807,            0.008944,            0.008944,            0.008944
                  34,            0.038658,            0.026072,           0.0014905,             0.70573,             0.64863,             0.69241,             0.40967,            0.038385,            0.019695,           0.0013177,            0.008911,            0.008911,            0.008911
